dataset,base_variant,mode,space,alpha,steps,temperature,correct_alpha,correct_steps,beta,valid_acc_before,valid_acc_after,test_acc_before,test_acc_after,macro_f1_before,macro_f1_after,predicted_class_count_before,predicted_class_count_after,full_edge_execution,uses_bounded_edges,uses_diffusion,uses_dense_p2,promotion_status,promotion_reason
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.2,2,0.5,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.2,2,1.0,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.2,4,0.25,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.2,4,0.5,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.2,4,1.0,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.4,1,0.25,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.4,1,0.5,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.4,1,1.0,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.4,2,0.25,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.4,2,0.5,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.4,2,1.0,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.4,4,0.25,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.4,4,0.5,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.4,4,1.0,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.6,1,0.25,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.6,1,0.5,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.6,1,1.0,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.6,2,0.25,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.6,2,0.5,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.6,2,1.0,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.6,4,0.25,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.6,4,0.5,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,correct_error_then_smooth,probabilities,,,,0.6,4,1.0,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
dblp,B2_metapath,blocked_no_target_target_relation,,,,,,,,,,,,,,,,True,False,,,blocked,no_target_target_relation_for_logit_correct
imdb,B2_metapath,blocked_no_target_target_relation,,,,,,,,,,,,,,,,True,False,,,blocked,no_target_target_relation_for_logit_correct
